#.t	Pressure
#d	hPa
2.4895833	103100
2.4930556	103100
2.4965278	103100
2.5	103100
2.5034722	103100
2.5069444	103100
2.5104167	103100
2.5138889	103100
2.5173611	103100
2.5208333	103100
2.5243056	103100
2.5277778	103100
2.53125	103100
2.5347222	103100
2.5381944	103100
2.5416667	103100
2.5451389	103100
2.5486111	103100
2.5520833	103100
2.5555556	103100
2.5590278	103100
2.5625	103100
2.5659722	103100
2.5694444	103100
2.5729167	103100
2.5763889	103100
2.5798611	103100
2.5833333	103100
2.5868056	103100
2.5902778	103100
2.59375	103100
2.5972222	103100
2.6006944	103100
2.6041667	103100
2.6076389	103100
2.6111111	103100
2.6145833	103100
2.6180556	103100
2.6215278	103100
2.625	103100
2.6284722	103100
2.6319444	103100
2.6354167	103100
2.6388889	103100
2.6423611	103100
2.6458333	103100
2.6493056	103100
2.6527778	103100
2.65625	103100
2.6597222	103100
2.6631944	103100
2.6666667	103100
2.6701389	103100
2.6736111	103100
2.6770833	103100
2.6805556	103100
2.6840278	103100
2.6875	103100
2.6909722	103100
2.6944444	103100
2.6979167	103100
2.7013889	103100
2.7048611	103100
2.7083333	103100
2.7118056	103100
2.7152778	103100
2.71875	103100
2.7222222	103100
2.7256944	103100
2.7291667	103100
2.7326389	103100
2.7361111	103100
2.7395833	103100
2.7430556	103100
2.7465278	103100
2.75	103100
2.7534722	103100
2.7569444	103100
2.7604167	103100
2.7638889	103100
2.7673611	103100
2.7708333	103100
2.7743056	103100
2.7777778	103100
2.78125	103100
2.7847222	103100
2.7881944	103100
2.7916667	103100
2.7951389	103100
2.7986111	103100
2.8020833	103100
2.8055556	103100
2.8090278	103100
2.8125	103100
2.8159722	103100
2.8194444	103100
2.8229167	103100
2.8263889	103100
2.8298611	103100
2.8333333	103100
2.8368056	103100
2.8402778	103100
2.84375	103100
2.8472222	103100
2.8506944	103100
2.8541667	103100
2.8576389	103100
2.8611111	103100
2.8645833	103100
2.8680556	103100
2.8715278	103100
2.875	103100
2.8784722	103100
2.8819444	103100
2.8854167	103100
2.8888889	103100
2.8923611	103100
2.8958333	103100
2.8993056	103100
2.9027778	103100
2.90625	103100
2.9097222	103100
2.9131944	103100
2.9166667	103100
2.9201389	103100
2.9236111	103100
2.9270833	103100
2.9305556	103100
2.9340278	103100
2.9375	103100
2.9409722	103100
2.9444444	103100
2.9479167	103100
2.9513889	103100
2.9548611	103100
2.9583333	103100
2.9618056	103100
2.9652778	103100
2.96875	103100
2.9722222	103100
2.9756944	103100
2.9791667	103100
2.9826389	103100
2.9861111	103100
2.9895833	103100
2.9930556	103100
2.9965278	103100
3	103700
3.0034722	103700
3.0069444	103700
3.0104167	103700
3.0138889	103700
3.0173611	103700
3.0208333	103700
3.0243056	103700
3.0277778	103700
3.03125	103700
3.0347222	103700
3.0381944	103700
3.0416667	103700
3.0451389	103700
3.0486111	103700
3.0520833	103700
3.0555556	103700
3.0590278	103700
3.0625	103700
3.0659722	103700
3.0694444	103700
3.0729167	103700
3.0763889	103700
3.0798611	103700
3.0833333	103700
3.0868056	103700
3.0902778	103700
3.09375	103700
3.0972222	103700
3.1006944	103700
3.1041667	103700
3.1076389	103700
3.1111111	103700
3.1145833	103700
3.1180556	103700
3.1215278	103700
3.125	103700
3.1284722	103700
3.1319444	103700
3.1354167	103700
3.1388889	103700
3.1423611	103700
3.1458333	103700
3.1493056	103700
3.1527778	103700
3.15625	103700
3.1597222	103700
3.1631944	103700
3.1666667	103700
3.1701389	103700
3.1736111	103700
3.1770833	103700
3.1805556	103700
3.1840278	103700
3.1875	103700
3.1909722	103700
3.1944444	103700
3.1979167	103700
3.2013889	103700
3.2048611	103700
3.2083333	103700
3.2118056	103700
3.2152778	103700
3.21875	103700
3.2222222	103700
3.2256944	103700
3.2291667	103700
3.2326389	103700
3.2361111	103700
3.2395833	103700
3.2430556	103700
3.2465278	103700
3.25	103700
3.2534722	103700
3.2569444	103700
3.2604167	103700
3.2638889	103700
3.2673611	103700
3.2708333	103700
3.2743056	103700
3.2777778	103700
3.28125	103700
3.2847222	103700
3.2881944	103700
3.2916667	103700
3.2951389	103700
3.2986111	103700
3.3020833	103700
3.3055556	103700
3.3090278	103700
3.3125	103700
3.3159722	103700
3.3194444	103700
3.3229167	103700
3.3263889	103700
3.3298611	103700
3.3333333	103700
3.3368056	103700
3.3402778	103700
3.34375	103700
3.3472222	103700
3.3506944	103700
3.3541667	103700
3.3576389	103700
3.3611111	103700
3.3645833	103700
3.3680556	103700
3.3715278	103700
3.375	103700
3.3784722	103700
3.3819444	103700
3.3854167	103700
3.3888889	103700
3.3923611	103700
3.3958333	103700
3.3993056	103700
3.4027778	103700
3.40625	103700
3.4097222	103700
3.4131944	103700
3.4166667	103700
3.4201389	103700
3.4236111	103700
3.4270833	103700
3.4305556	103700
3.4340278	103700
3.4375	103700
3.4409722	103700
3.4444444	103700
3.4479167	103700
3.4513889	103700
3.4548611	103700
3.4583333	103700
3.4618056	103700
3.4652778	103700
3.46875	103700
3.4722222	103700
3.4756944	103700
3.4791667	103700
3.4826389	103700
3.4861111	103700
3.4895833	103700
3.4930556	103700
3.4965278	103700
3.5	103700
3.5034722	103700
3.5069444	103700
3.5104167	103700
3.5138889	103700
3.5173611	103700
3.5208333	103700
3.5243056	103700
3.5277778	103700
3.53125	103700
3.5347222	103700
3.5381944	103700
3.5416667	103700
3.5451389	103700
3.5486111	103700
3.5520833	103700
3.5555556	103700
3.5590278	103700
3.5625	103700
3.5659722	103700
3.5694444	103700
3.5729167	103700
3.5763889	103700
3.5798611	103700
3.5833333	103700
3.5868056	103700
3.5902778	103700
3.59375	103700
3.5972222	103700
3.6006944	103700
3.6041667	103700
3.6076389	103700
3.6111111	103700
3.6145833	103700
3.6180556	103700
3.6215278	103700
3.625	103700
3.6284722	103700
3.6319444	103700
3.6354167	103700
3.6388889	103700
3.6423611	103700
3.6458333	103700
3.6493056	103700
3.6527778	103700
3.65625	103700
3.6597222	103700
3.6631944	103700
3.6666667	103700
3.6701389	103700
3.6736111	103700
3.6770833	103700
3.6805556	103700
3.6840278	103700
3.6875	103700
3.6909722	103700
3.6944444	103700
3.6979167	103700
3.7013889	103700
3.7048611	103700
3.7083333	103700
3.7118056	103700
3.7152778	103700
3.71875	103700
3.7222222	103700
3.7256944	103700
3.7291667	103700
3.7326389	103700
3.7361111	103700
3.7395833	103700
3.7430556	103700
3.7465278	103700
3.75	103700
3.7534722	103700
3.7569444	103700
3.7604167	103700
3.7638889	103700
3.7673611	103700
3.7708333	103700
3.7743056	103700
3.7777778	103700
3.78125	103700
3.7847222	103700
3.7881944	103700
3.7916667	103700
3.7951389	103700
3.7986111	103700
3.8020833	103700
3.8055556	103700
3.8090278	103700
3.8125	103700
3.8159722	103700
3.8194444	103700
3.8229167	103700
3.8263889	103700
3.8298611	103700
3.8333333	103700
3.8368056	103700
3.8402778	103700
3.84375	103700
3.8472222	103700
3.8506944	103700
3.8541667	103700
3.8576389	103700
3.8611111	103700
3.8645833	103700
3.8680556	103700
3.8715278	103700
3.875	103700
3.8784722	103700
3.8819444	103700
3.8854167	103700
3.8888889	103700
3.8923611	103700
3.8958333	103700
3.8993056	103700
3.9027778	103700
3.90625	103700
3.9097222	103700
3.9131944	103700
3.9166667	103700
3.9201389	103700
3.9236111	103700
3.9270833	103700
3.9305556	103700
3.9340278	103700
3.9375	103700
3.9409722	103700
3.9444444	103700
3.9479167	103700
3.9513889	103700
3.9548611	103700
3.9583333	103700
3.9618056	103700
3.9652778	103700
3.96875	103700
3.9722222	103700
3.9756944	103700
3.9791667	103700
3.9826389	103700
3.9861111	103700
3.9895833	103700
3.9930556	103700
3.9965278	103700
4	103700
4.0034722	103700
4.0069444	103700
4.0104167	103700
4.0138889	103700
4.0173611	103700
4.0208333	103700
4.0243056	103700
4.0277778	103700
4.03125	103700
4.0347222	103700
4.0381944	103700
4.0416667	103700
4.0451389	103700
4.0486111	103700
4.0520833	103700
4.0555556	103700
4.0590278	103700
4.0625	103700
4.0659722	103700
4.0694444	103700
4.0729167	103700
4.0763889	103700
4.0798611	103700
4.0833333	103700
4.0868056	103700
4.0902778	103700
4.09375	103700
4.0972222	103700
4.1006944	103700
4.1041667	103700
4.1076389	103700
4.1111111	103700
4.1145833	103700
4.1180556	103700
4.1215278	103700
4.125	103700
4.1284722	103700
4.1319444	103700
4.1354167	103700
4.1388889	103700
4.1423611	103700
4.1458333	103700
4.1493056	103700
4.1527778	103700
4.15625	103700
4.1597222	103700
4.1631944	103700
4.1666667	103700
4.1701389	103700
4.1736111	103700
4.1770833	103700
4.1805556	103700
4.1840278	103700
4.1875	103700
4.1909722	103700
4.1944444	103700
4.1979167	103700
4.2013889	103700
4.2048611	103700
4.2083333	103700
4.2118056	103700
4.2152778	103700
4.21875	103700
4.2222222	103700
4.2256944	103700
4.2291667	103700
4.2326389	103700
4.2361111	103700
4.2395833	103700
4.2430556	103700
4.2465278	103700
4.25	103700
4.2534722	103700
4.2569444	103700
4.2604167	103700
4.2638889	103700
4.2673611	103700
4.2708333	103700
4.2743056	103700
4.2777778	103700
4.28125	103700
4.2847222	103700
4.2881944	103700
4.2916667	103700
4.2951389	103700
4.2986111	103700
4.3020833	103700
4.3055556	103700
4.3090278	103700
4.3125	103700
4.3159722	103700
4.3194444	103700
4.3229167	103700
4.3263889	103700
4.3298611	103700
4.3333333	103700
4.3368056	103700
4.3402778	103700
4.34375	103700
4.3472222	103700
4.3506944	103700
4.3541667	103700
4.3576389	103700
4.3611111	103700
4.3645833	103700
4.3680556	103700
4.3715278	103700
4.375	103700
4.3784722	103700
4.3819444	103700
4.3854167	103700
4.3888889	103700
4.3923611	103700
4.3958333	103700
4.3993056	103700
4.4027778	103700
4.40625	103700
4.4097222	103700
4.4131944	103700
4.4166667	103700
4.4201389	103700
4.4236111	103700
4.4270833	103700
4.4305556	103700
4.4340278	103700
4.4375	103700
4.4409722	103700
4.4444444	103700
4.4479167	103700
4.4513889	103700
4.4548611	103700
4.4583333	103700
4.4618056	103700
4.4652778	103700
4.46875	103700
4.4722222	103700
4.4756944	103700
4.4791667	103700
4.4826389	103700
4.4861111	103700
4.4895833	103700
4.4930556	103700
4.4965278	103700
4.5	103700
4.5034722	103700
4.5069444	103700
4.5104167	103700
4.5138889	103700
4.5173611	103700
4.5208333	103700
4.5243056	103700
4.5277778	103700
4.53125	103700
4.5347222	103700
4.5381944	103700
4.5416667	103700
4.5451389	103700
4.5486111	103700
4.5520833	103700
4.5555556	103700
4.5590278	103700
4.5625	103700
4.5659722	103700
4.5694444	103700
4.5729167	103700
4.5763889	103700
4.5798611	103700
4.5833333	103700
4.5868056	103700
4.5902778	103700
4.59375	103700
4.5972222	103700
4.6006944	103700
4.6041667	103700
4.6076389	103700
4.6111111	103700
4.6145833	103700
4.6180556	103700
4.6215278	103700
4.625	103700
4.6284722	103700
4.6319444	103700
4.6354167	103700
4.6388889	103700
4.6423611	103700
4.6458333	103700
4.6493056	103700
4.6527778	103700
4.65625	103700
4.6597222	103700
4.6631944	103700
4.6666667	103700
4.6701389	103700
4.6736111	103700
4.6770833	103700
4.6805556	103700
4.6840278	103700
4.6875	103700
4.6909722	103700
4.6944444	103700
4.6979167	103700
4.7013889	103700
4.7048611	103700
4.7083333	103700
4.7118056	103700
4.7152778	103700
4.71875	103700
4.7222222	103700
4.7256944	103700
4.7291667	103700
4.7326389	103700
4.7361111	103700
4.7395833	103700
4.7430556	103700
4.7465278	103700
4.75	103700
4.7534722	103700
4.7569444	103700
4.7604167	103700
4.7638889	103700
4.7673611	103700
4.7708333	103700
4.7743056	103700
4.7777778	103700
4.78125	103700
4.7847222	103700
4.7881944	103700
4.7916667	103700
4.7951389	103700
4.7986111	103700
4.8020833	103700
4.8055556	103700
4.8090278	103700
4.8125	103700
4.8159722	103700
4.8194444	103700
4.8229167	103700
4.8263889	103700
4.8298611	103700
4.8333333	103700
4.8368056	103700
4.8402778	103700
4.84375	103700
4.8472222	103700
4.8506944	103700
4.8541667	103700
4.8576389	103700
4.8611111	103700
4.8645833	103700
4.8680556	103700
4.8715278	103700
4.875	103700
4.8784722	103700
4.8819444	103700
4.8854167	103700
4.8888889	103700
4.8923611	103700
4.8958333	103700
4.8993056	103700
4.9027778	103700
4.90625	103700
4.9097222	103700
4.9131944	103700
4.9166667	103700
4.9201389	103700
4.9236111	103700
4.9270833	103700
4.9305556	103700
4.9340278	103700
4.9375	103700
4.9409722	103700
4.9444444	103700
4.9479167	103700
4.9513889	103700
4.9548611	103700
4.9583333	103700
4.9618056	103700
4.9652778	103700
4.96875	103700
4.9722222	103700
4.9756944	103700
4.9791667	103700
4.9826389	103700
4.9861111	103700
4.9895833	103700
4.9930556	103700
4.9965278	103700
5	103300
5.0034722	103300
5.0069444	103300
5.0104167	103300
5.0138889	103300
5.0173611	103300
5.0208333	103300
5.0243056	103300
5.0277778	103300
5.03125	103300
5.0347222	103300
5.0381944	103300
5.0416667	103300
5.0451389	103300
5.0486111	103300
5.0520833	103300
5.0555556	103300
5.0590278	103300
5.0625	103300
5.0659722	103300
5.0694444	103300
5.0729167	103300
5.0763889	103300
5.0798611	103300
5.0833333	103300
5.0868056	103300
5.0902778	103300
5.09375	103300
5.0972222	103300
5.1006944	103300
5.1041667	103300
5.1076389	103300
5.1111111	103300
5.1145833	103300
5.1180556	103300
5.1215278	103300
5.125	103300
5.1284722	103300
5.1319444	103300
5.1354167	103300
5.1388889	103300
5.1423611	103300
5.1458333	103300
5.1493056	103300
5.1527778	103300
5.15625	103300
5.1597222	103300
5.1631944	103300
5.1666667	103300
5.1701389	103300
5.1736111	103300
5.1770833	103300
5.1805556	103300
5.1840278	103300
5.1875	103300
5.1909722	103300
5.1944444	103300
5.1979167	103300
5.2013889	103300
5.2048611	103300
5.2083333	103300
5.2118056	103300
5.2152778	103300
5.21875	103300
5.2222222	103300
5.2256944	103300
5.2291667	103300
5.2326389	103300
5.2361111	103300
5.2395833	103300
5.2430556	103300
5.2465278	103300
5.25	103300
5.2534722	103300
5.2569444	103300
5.2604167	103300
5.2638889	103300
5.2673611	103300
5.2708333	103300
5.2743056	103300
5.2777778	103300
5.28125	103300
5.2847222	103300
5.2881944	103300
5.2916667	103300
5.2951389	103300
5.2986111	103300
5.3020833	103300
5.3055556	103300
5.3090278	103300
5.3125	103300
5.3159722	103300
5.3194444	103300
5.3229167	103300
5.3263889	103300
5.3298611	103300
5.3333333	103300
5.3368056	103300
5.3402778	103300
5.34375	103300
5.3472222	103300
5.3506944	103300
5.3541667	103300
5.3576389	103300
5.3611111	103300
5.3645833	103300
5.3680556	103300
5.3715278	103300
5.375	103300
5.3784722	103300
5.3819444	103300
5.3854167	103300
5.3888889	103300
5.3923611	103300
5.3958333	103300
5.3993056	103300
5.4027778	103300
5.40625	103300
5.4097222	103300
5.4131944	103300
5.4166667	103300
5.4201389	103300
5.4236111	103300
5.4270833	103300
5.4305556	103300
5.4340278	103300
5.4375	103300
5.4409722	103300
5.4444444	103300
5.4479167	103300
5.4513889	103300
