#.t	.Inflow(H2O)	.Inflow(S_A)	.Inflow(S_ALK)	.Inflow(S_Al)	.Inflow(S_F)	.Inflow(S_I)	.Inflow(S_N2)	.Inflow(S_NH)	.Inflow(S_NO)	.Inflow(S_O)	.Inflow(S_PO)	.Inflow(X_AUT)	.Inflow(X_H)	.Inflow(X_I)	.Inflow(X_I_i)	.Inflow(X_MEOH)	.Inflow(X_MEP)	.Inflow(X_PAO)	.Inflow(X_PHA)	.Inflow(X_PP)	.Inflow(X_S)	.Inflow(X_TSS)	.Influent_Load(H2O)	.Influent_Load(S_A)	.Influent_Load(S_ALK)	.Influent_Load(S_Al)	.Influent_Load(S_F)	.Influent_Load(S_I)	.Influent_Load(S_N2)	.Influent_Load(S_NH)	.Influent_Load(S_NO)	.Influent_Load(S_O)	.Influent_Load(S_PO)	.Influent_Load(X_AUT)	.Influent_Load(X_H)	.Influent_Load(X_I)	.Influent_Load(X_I_i)	.Influent_Load(X_MEOH)	.Influent_Load(X_MEP)	.Influent_Load(X_PAO)	.Influent_Load(X_PHA)	.Influent_Load(X_PP)	.Influent_Load(X_S)	.Influent_Load(X_TSS)
#d																																												
220.47428	86825.916	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-86825916000	-4668130.254303	-0	-0	-7002195.3814545	-7002195.3814545	-0	-3738289.81338	-0	-0	-757121.98752	-0	-0	-11491612.2869843	-6537644.171136	-0	-0	-0	-0	-0	-25578104.7678037	-25144785.2736
220.47776	97179.276	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-97179276000	-5224770.889683	-0	-0	-7837156.3345245	-7837156.3345245	-0	-4184053.72818	-0	-0	-847403.28672	-0	-0	-12861903.6063131	-7317210.765696	-0	-0	-0	-0	-0	-28628108.0269549	-28143118.3296
220.48123	115601.2368	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-115601236800	-6215213.7956244	-0	-0	-9322820.6934366	-9322820.6934366	-0	-4977211.250424	-0	-0	-1008042.784896	-0	-0	-15300093.0413617	-8704310.7260928	-0	-0	-0	-0	-0	-34055045.8017407	-33478118.17728
220.4847	83253.3	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-83253300000	-4476051.234525	-0	-0	-6714076.8517875	-6714076.8517875	-0	-3584470.8315	-0	-0	-725968.776	-0	-0	-11018768.235189	-6268640.4768	-0	-0	-0	-0	-0	-24525645.426711	-24110155.68
220.48817	95706.2496	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-95706249600	-5145574.7300568	-0	-0	-7718362.0950852	-7718362.0950852	-0	-4120632.576528	-0	-0	-834558.496512	-0	-0	-12666945.1301216	-7206297.7698816	-0	-0	-0	-0	-0	-28194168.1928512	-27716529.88416
220.49164	85102.9008	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-85102900800	-4575493.6343364	-0	-0	-6863240.4515046	-6863240.4515046	-0	-3664105.393944	-0	-0	-742097.294976	-0	-0	-11263567.2106389	-6407908.0186368	-0	-0	-0	-0	-0	-25070520.5656155	-24645800.07168
220.49512	29376.9888	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-29376988800	-1579431.7700904	-0	-0	-2369147.6551356	-2369147.6551356	-0	-1264826.252784	-0	-0	-256167.342336	-0	-0	-3888112.9160639	-2211969.7486848	-0	-0	-0	-0	-0	-8654186.8131745	-8507575.95648
220.49859	39271.4208	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-39271420800	-2111398.4857464	-0	-0	-3167097.7286196	-3167097.7286196	-0	-1690831.022544	-0	-0	-342446.789376	-0	-0	-5197664.04529046	-2956980.9005568	-0	-0	-0	-0	-0	-11568994.1653239	-11373003.46368
220.50206	94138.1256	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-94138125600	-5247000.2410986	-0	-0	-7870500.3616479	-7870500.3616479	-0	-4201855.236156	-0	-0	-851008.655424	-0	-0	-14102626.4336409	-7797046.73569536	-0	-0	-0	-0	-0	-31389716.9006847	-29988641.291136
220.50553	85705.3536	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-85705353600	-4776980.7199416	-0	-0	-7165471.0799124	-7165471.0799124	-0	-3825458.457936	-0	-0	-774776.396544	-0	-0	-12839331.3280916	-7098597.33513216	-0	-0	-0	-0	-0	-28577866.504462	-27302297.442816
