#.t	Temp
#d	degC
0	11.0943995943205
1	10.8383538011696
2	11.543128103277
3	12.1472946518668
4	12.4607427184465
5	12.5789475766568
6	12.7145797546013
7	12.7733179012347
8	12.7151467710372
9	12.3097048503612
10	12.238044381492
11	11.9918005725191
12	11.9399195509823
13	11.9305039215687
14	11.9035610724925
15	11.7182940057089
16	11.5976020313942
17	11.650351724138
18	11.5788177655677
19	11.3069468186135
20	11.2657465753425
21	11.3456693147964
22	11.098981688708
23	11.1565607210626
24	11.1719805725971
25	11.1083450570342
26	10.224533234714
27	8.322960649087211
28	9.42581695906434
29	9.785234250764599
30	10.1728854886476
31	10.1710425873465
32	8.76207427716848
33	9.43604274274276
34	10.2132404365904
35	9.45295608308607
36	8.508209176915781
37	8.94688634046893
38	9.45924122807018
39	9.86371661863595
40	10.1676625592417
41	10.201288969918
42	10.2422940057088
43	10.4351113207547
44	10.4689238921002
45	10.3364893617022
46	10.1152479166667
47	10.3971907514451
48	10.5289980750722
49	10.6671528301887
50	10.7275340466926
51	10.6573458574181
52	10.4725795795795
53	10.4594726090993
54	10.3977051643193
55	10.3079966449208
56	9.657382613065289
57	9.873762978283329
58	10.2034039553753
59	10.4849970703125
60	10.6040684931507
61	10.6877714561235
62	10.7156090225564
63	10.8465718475074
64	11.0565268490374
65	11.2892060546875
66	11.5244377510041
67	11.175943452381
68	10.4031023765997
69	10.2814702549575
70	10.3693060817547
71	10.5484433399602
72	10.7834146586345
73	10.855859
74	10.9460229166667
75	11.063047752809
76	11.1774475247525
77	11.25492043222
78	10.7631600377003
79	9.389558840579721
80	9.90980177339905
81	10.222868
82	10.2428847619048
83	10.2703969610637
84	10.4051102803738
85	10.6065816425121
86	10.86435585157
87	10.990342386033
88	11.0259121900826
89	11.0238828365879
90	10.9883996157541
91	11.0018816568047
92	11.0330983772819
93	11.0977702970296
94	11.1633628404668
95	11.2648100616017
96	11.3800200956938
97	11.364309375
98	11.6282801175319
99	11.7517432024168
100	11.1348476953908
101	11.0566401179941
102	11.5509627450981
103	11.9740515995872
104	12.4248772277228
105	12.6527826086957
106	12.7906704428425
107	13.110856716418
108	13.0694168336673
109	12.8116333333334
110	12.8954129158513
111	13.1226403508773
112	13.3327775590551
