.ASU_5.NH4,.ASU_5.NO3,.out_1.TSS
7.1551334,5.6812013,10.659874
7.1551576,5.6812169,10.660231
7.1551808,5.6812317,10.660571
7.1552983,5.6813041,10.662271
7.1558019,5.6815746,10.669178
7.1563735,5.6818174,10.676402
7.1569939,5.6820203,10.683656
7.157064,5.6820398,10.684443
7.1574225,5.6821305,10.688374
7.1575209,5.6821528,10.689428
7.1575474,5.6821586,10.689709
7.1575669,5.6821628,10.689916
7.1575778,5.6821652,10.690031
7.157593,5.6821684,10.690192
7.1576694,5.6821844,10.690997
7.1580597,5.6822569,10.695018
7.1588523,5.6823622,10.70276
7.1596606,5.6824209,10.710161
7.1605278,5.682439,10.717634
7.1614495,5.6824157,10.725128
7.1624264,5.682351,10.732639
7.1626229,5.6823336,10.734101
7.1628119,5.6823156,10.735494
7.1630133,5.682295,10.736962
7.163243,5.68227,10.738619
7.1632855,5.6822651,10.738924
7.1633288,5.6822602,10.739233
7.1635465,5.6822343,10.74078
7.1644071,5.6821182,10.746736
7.1652847,5.6819794,10.752573
7.1655149,5.6819398,10.754066
7.1655987,5.6819251,10.754607
7.165656,5.681915,10.754975
7.1657015,5.6819069,10.755267
7.1657542,5.6818974,10.755604
7.1660188,5.681849,10.757286
7.1670519,5.6816461,10.763684
7.1681051,5.6814182,10.769947
7.1692332,5.6811533,10.776391
7.1704389,5.6808493,10.783004
7.171729,5.6805029,10.789794
7.171801,5.6804829,10.790164
7.1718265,5.6804759,10.790296
7.1718495,5.6804695,10.790414
7.1719647,5.6804374,10.791005
7.1725456,5.6802734,10.793951
7.1740396,5.6798354,10.801295
7.1755823,5.6793612,10.808551
7.1771775,5.6788502,10.815736
7.1788274,5.6783024,10.822855
7.1805326,5.6777181,10.829905
7.1822935,5.6770977,10.836882
7.1841104,5.6764415,10.843784
7.1842229,5.6764005,10.844202
7.1847282,5.6762151,10.846066
7.1851933,5.6760436,10.847763
7.1866171,5.6755133,10.852849
7.1880525,5.6749712,10.857818
7.1895633,5.6743933,10.862885
7.1911509,5.6737787,10.868039
7.1928211,5.6731248,10.873281
7.1945799,5.6724289,10.878612
7.196434,5.671688,10.884033
7.1983908,5.6708989,10.889544
7.2004586,5.6700581,10.895144
7.2026464,5.6691616,10.900834
7.2049645,5.668205,10.906612
7.2074243,5.6671834,10.912476
7.2099368,5.6661342,10.918196
7.2105606,5.6658729,10.919576
7.2108107,5.665768,10.920125
7.2110572,5.6656647,10.920663
7.2119676,5.6652825,10.922631
7.212941,5.6648733,10.924702
7.2140382,5.6644114,10.926998
7.2152812,5.6638873,10.929553
7.2167128,5.6632829,10.932439
7.2183964,5.6625711,10.935763
7.2204473,5.6617029,10.939713
7.2231909,5.66054,10.944844
7.2259649,5.659363,10.949863
7.2288382,5.6581433,10.954896
7.2316709,5.6569406,10.959703
7.2345196,5.6557311,10.964388
7.2373835,5.6545155,10.968956
7.240259,5.6532956,10.973406
7.2431443,5.6520725,10.977738
7.2460374,5.650847,10.981954
7.2465599,5.6506258,10.982702
7.2486087,5.6497589,10.985597
7.2505038,5.6489575,10.988223
7.2535608,5.6476662,10.992354
7.2564627,5.6464419,10.996161
7.2593741,5.6452153,10.999871
7.2622853,5.6439905,11.003477
7.2651957,5.6427678,11.00698
7.2681049,5.6415475,11.010385
7.2710122,5.64033,11.013692
7.2739171,5.6391154,11.016906
7.2768192,5.637904,11.020029
7.2797181,5.6366961,11.023062
7.2826134,5.6354916,11.026009
7.2855051,5.6342908,11.028872
7.2883927,5.6330938,11.031654
7.2887974,5.6329263,11.032037
7.2908246,5.6320874,11.033937
7.2909172,5.6320491,11.034023
7.291137,5.6319582,11.034227
7.2913377,5.6318752,11.034413
7.2923421,5.6314601,11.035336
7.2929882,5.6311932,11.035925
7.2936105,5.6309363,11.036489
7.2938487,5.630838,11.036704
7.2939907,5.6307794,11.036832
7.2941213,5.6307255,11.03695
7.2947746,5.6304559,11.037536
7.2966578,5.6296795,11.039204
7.2985383,5.6289051,11.04084
7.300484,5.6281048,11.042502
7.3024939,5.6272791,11.044187
7.3027993,5.6271538,11.04444
7.3031742,5.6269999,11.04475
7.3050509,5.6262302,11.046284
7.3070933,5.6253936,11.047922
7.3092091,5.624528,11.049584
7.3114107,5.6236285,11.051279
7.3137044,5.6226927,11.053006
7.3160978,5.6217176,11.054767
7.3186001,5.6206997,11.056564
7.3212218,5.6196349,11.058399
7.3239757,5.6185182,11.060276
7.3268489,5.617355,11.06218
7.3297095,5.616199,11.06402
7.332574,5.6150432,11.065809
7.3343515,5.614327,11.066892
7.336187,5.6135882,11.06799
7.3379132,5.6128941,11.069003
7.3401929,5.6119784,11.070312
7.3427217,5.6109641,11.071725
7.3454946,5.6098533,11.073229
7.3483616,5.6087066,11.074732
7.3512548,5.6075511,11.076199
7.3541558,5.6063941,11.077617
7.357061,5.6052371,11.078987
7.3599696,5.6040804,11.080307
7.3628808,5.6029241,11.081578
7.3657939,5.6017686,11.0828
7.3687078,5.6006142,11.083973
