#.ttime_rel	Q	CODt	CODs	TSS	NH4	PO4
#d	m3/h	g/m3	g/m3	g/m3	g/m3	g/m3
220.76595	4414.7715	846.71206	195.02151	462.59606	37.944778	7.9076132
220.76942	4501.722	856.712	194.60324	472.596	37.828473	7.8906533
220.77289	4465.7403	866.71194	194.18496	482.59594	37.712168	7.8736934
220.77636	5872.3929	876.71187	193.76669	492.59587	37.595863	7.8567335
220.77984	5447.3636	886.71181	193.34842	502.59581	37.479558	7.8397736
220.78331	4539.9389	891.08804	192.93014	506.97204	37.363254	7.8228137
220.78678	4516.1145	888.58806	192.51187	504.47206	37.246949	7.8058538
220.79025	4380.7706	881.87736	192.68735	500.07266	37.245368	7.8129691
220.79373	4379.5853	870.74809	193.48358	493.68009	37.363531	7.8452542
220.7972	5880.5981	868.2481	193.06136	491.1801	37.246129	7.8281343
220.80067	5397.8203	865.74812	192.63914	488.68012	37.128727	7.8110144
220.80414	4424.4673	863.24814	192.21692	486.18014	37.011325	7.7938945
220.80761	4452.9036	860.74815	191.7947	483.68015	36.893923	7.7767746
220.81109	4446.8435	858.24817	191.37248	481.18017	36.776521	7.7596547
220.81456	4382.1267	855.74818	190.95026	478.68018	36.659119	7.7425348
220.81803	4340.5345	853.2482	190.52805	476.1802	36.541717	7.7254149
220.8215	4329.6286	850.74822	190.10583	473.68022	36.424315	7.708295
220.82498	4255.3285	848.24823	189.68361	471.18023	36.306913	7.6911751
220.82845	4253.8656	845.74825	189.26139	468.68025	36.189511	7.6740552
220.83192	4337.7513	843.24826	188.83917	466.18026	36.072109	7.6569354
220.83539	4396.4561	827.90828	181.37332	457.88828	34.610606	7.3542149
220.83886	5872.8253	825.4083	180.96689	455.3883	34.497592	7.337735
220.84234	5264.0398	822.90831	180.56045	452.88831	34.384579	7.3212551
220.84581	4278.5291	820.40833	180.15402	450.38833	34.271566	7.3047752
220.84928	4240.8099	817.90834	179.74758	447.88834	34.158553	7.2882953
220.85275	4304.2919	815.40836	179.34115	445.38836	34.04554	7.2718154
220.85623	4267.4136	812.90838	178.93471	442.88838	33.932527	7.2553355
220.8597	4134.416	810.40839	178.52828	440.38839	33.819513	7.2388556
220.86317	4172.6213	807.90841	178.12184	437.88841	33.7065	7.2223757
220.86664	4188.5291	805.40842	177.71541	435.38842	33.593487	7.2058958
220.87011	4230.7242	802.90844	177.30897	432.88844	33.480474	7.1894159
220.87359	4289.7431	800.40846	176.90254	430.38846	33.367461	7.1729361
220.87706	4246.7831	797.90847	171.35544	427.88847	32.285871	6.9480157
220.88053	4163.0697	795.40849	170.96084	425.38849	32.17615	6.9320158
220.884	4167.5018	792.9085	170.56624	422.8885	32.066428	6.9160159
220.88748	4153.6138	790.40852	170.17164	420.38852	31.956707	6.900016
220.89095	4115.8553	787.90854	169.77705	417.88854	31.846985	6.8840161
220.89442	4352.8085	785.40855	169.38245	415.38855	31.737264	6.8680162
220.89789	4373.7765	782.90857	168.98785	412.88857	31.627542	6.8520163
220.90136	4505.3883	780.40858	168.59325	410.38858	31.517821	6.8360164
220.90484	4510.3236	777.9086	168.19866	407.8886	31.408099	6.8200165
220.90831	4314.3061	775.40862	167.80406	405.38862	31.298378	6.8040166
220.91178	4230.771	772.90863	167.40946	402.88863	31.188656	6.7880167
220.91525	4232.544	770.40865	167.01486	400.38865	31.078935	6.7720168
220.91873	4312.8163	780.74866	163.28786	403.68066	30.349829	6.6208966
220.9222	4310.0251	778.24868	162.90116	401.18068	30.242302	6.6052167
220.92567	4332.4624	775.7487	162.51445	398.6807	30.134775	6.5895368
220.92914	4344.5861	773.24871	162.12775	396.18071	30.027248	6.5738569
220.93261	2991.623	770.74873	161.74104	393.68073	29.919721	6.558177
220.93609	3332.8502	768.24874	161.35433	391.18074	29.812194	6.5424971
220.93956	4193.6797	765.74876	160.96763	388.68076	29.704666	6.5268172
220.94303	4234.6877	763.24878	160.58092	386.18078	29.597139	6.5111373
220.9465	4152.0199	760.74879	160.19422	383.68079	29.489612	6.4954574
220.94997	4117.8234	758.24881	159.80751	381.18081	29.382085	6.4797775
220.95345	4288.4649	755.74882	159.42081	378.68082	29.274558	6.4640976
220.95692	4341.1539	753.24884	159.0341	376.18084	29.167031	6.4484177
220.96039	4219.5108	750.74886	158.6474	373.68086	29.059504	6.4327378
220.96386	4098.0896	748.24887	158.26069	371.18087	28.951977	6.4170579
220.96734	4066.3142	745.74889	157.87398	368.68089	28.84445	6.401378
220.97081	4087.1786	743.2489	157.48728	366.1809	28.736923	6.3856981
220.97428	4064.5751	740.74892	157.10057	363.68092	28.629396	6.3700182
220.97775	4024.8425	738.24894	156.71387	361.18094	28.521868	6.3543383
220.98122	4206.6405	735.74895	156.32716	358.68095	28.414341	6.3386584
220.9847	4143.8921	733.24897	155.94046	356.18097	28.306814	6.3229785
220.98817	2819.0221	730.74898	155.55375	353.68098	28.199287	6.3072986
220.99164	3321.7408	728.249	155.16705	351.181	28.09176	6.2916187
220.99511	4187.4205	725.74902	154.78034	348.68102	27.984233	6.2759388
220.99859	4175.0618	723.24903	154.39363	346.18103	27.876706	6.2602589
221.00206	4182.3925	688.64905	157.14993	329.20105	28.335897	6.3720194
221.00553	4135.1373	686.14906	156.75533	326.70106	28.226175	6.3560195
221.009	4265.1815	683.64908	156.36073	324.20108	28.116454	6.3400196
221.01247	4257.0897	681.1491	155.96614	321.7011	28.006732	6.3240197
221.01595	4210.8366	678.64911	155.57154	319.20111	27.897011	6.3080198
221.01942	4269.8838	676.14913	155.17694	316.70113	27.787289	6.2920199
221.02289	4253.9599	673.64914	154.78234	314.20114	27.677568	6.27602
221.02636	4297.97	671.14916	154.38775	311.70116	27.567846	6.2600201
221.02984	4184.3929	668.64918	153.99315	309.20118	27.458125	6.2440202
221.03331	4094.9314	666.14919	153.59855	306.70119	27.348403	6.2280203
221.03678	4122.5093	663.64921	153.20395	304.20121	27.238682	6.2120204
221.04025	4242.9538	661.14922	152.80936	301.70122	27.12896	6.1960205
221.04372	4267.9323	645.80924	150.89061	293.40924	26.749046	6.1182204
221.0472	4166.7392	643.30926	150.49996	290.90926	26.640422	6.1023805
221.05067	4167.221	642	150.10931	289.6	26.531797	6.0865406
221.05414	4137.7143	642	149.71866	289.6	26.423173	6.0707007
221.05761	4107.9542	642	149.328	289.6	26.314549	6.0548608
221.06109	4209.9587	642	148.93735	289.6	26.205925	6.0390209
221.06456	4144.205	642	148.5467	289.6	26.0973	6.023181
221.06803	4083.0757	642	148.15605	289.6	25.988676	6.0073411
221.0715	4084.216	642	147.7654	289.6	25.880052	5.9915012
221.07497	3962.7558	642	147.37475	289.6	25.771427	5.9756613
221.07845	3919.8185	642	146.9841	289.6	25.662803	5.9598214
221.08192	3951.17	642	146.59344	289.6	25.554179	5.9439815
221.08539	3935.8872	622.74	144.726	280.912	25.188529	5.8682614
221.08886	3991.2319	622.74	144.33929	280.912	25.081002	5.8525815
221.09234	3978.3547	622.74	193.354	280.912	38.71	7.84
221.09581	3949.5129	622.74	193.354	280.912	38.71	7.84
221.09928	3916.6075	622.74	193.354	280.912	38.71	7.84
221.10275	3841.8895	622.74	193.354	280.912	38.71	7.84
221.10622	3883.2025	622.74	193.354	280.912	38.71	7.84
221.1097	3972.8949	622.74	193.354	280.912	38.71	7.84
221.11317	3974.8924	622.74	193.354	280.912	38.71	7.84
221.11664	3971.6304	622.74	193.354	280.912	38.71	7.84
221.12011	3982.1489	622.74	193.354	280.912	38.71	7.84
221.12358	4009.33	622.74	193.354	280.912	38.71	7.84
221.12706	3971.3512	603.48	195.327	272.224	39.105	7.92
221.13053	3860.8401	603.48	195.327	272.224	39.105	7.92
221.134	3799.4605	603.48	195.327	272.224	39.105	7.92
221.13747	3754.7557	603.48	195.327	272.224	39.105	7.92
221.14095	3781.2639	603.48	195.327	272.224	39.105	7.92
221.14442	3701.1219	603.48	195.327	272.224	39.105	7.92
221.14789	3669.0221	603.48	195.327	272.224	39.105	7.92
221.15136	3623.2512	603.48	195.327	272.224	39.105	7.92
221.15483	3645.5529	603.48	195.327	272.224	39.105	7.92
221.15831	3652.733	603.48	195.327	272.224	39.105	7.92
221.16178	3612.3029	603.48	195.327	272.224	39.105	7.92
221.16525	3601.1586	603.48	195.327	272.224	39.105	7.92
221.16872	3615.4127	571.38	191.381	257.744	38.315	7.76
221.1722	3555.2649	571.38	191.381	257.744	38.315	7.76
221.17567	3594.7811	571.38	191.381	257.744	38.315	7.76
221.17914	3555.4791	571.38	191.381	257.744	38.315	7.76
221.18261	3557.7095	571.38	191.381	257.744	38.315	7.76
221.18608	3477.5888	571.38	191.381	257.744	38.315	7.76
221.18956	3467.5212	571.38	191.381	257.744	38.315	7.76
221.19303	3739.0148	571.38	191.381	257.744	38.315	7.76
221.1965	3786.8989	571.38	191.381	257.744	38.315	7.76
221.19997	3781.2472	571.38	191.381	257.744	38.315	7.76
221.20345	3254.8865	571.38	191.381	257.744	38.315	7.76
221.20692	2975.9513	571.38	191.381	257.744	38.315	7.76
221.21039	3069.0362	539.28	185.462	243.264	37.13	7.52
221.21386	4002.3453	539.28	185.462	243.264	37.13	7.52
221.21733	4539.3212	539.28	185.462	243.264	37.13	7.52
221.22081	4432.5436	539.28	185.462	243.264	37.13	7.52
221.22428	4289.1984	539.28	185.462	243.264	37.13	7.52
221.22775	4090.8723	539.28	185.462	243.264	37.13	7.52
221.23122	3545.8856	539.28	185.462	243.264	37.13	7.52
221.2347	3264.9945	539.28	185.462	243.264	37.13	7.52
221.23817	3225.2207	539.28	185.462	243.264	37.13	7.52
221.24164	3857.7483	539.28	185.462	243.264	37.13	7.52
221.24511	4225.1577	539.28	185.462	243.264	37.13	7.52
221.24858	4087.767	539.28	185.462	243.264	37.13	7.52
221.25206	3833.3151	513.6	181.516	231.68	36.34	7.36
221.25553	3325.2497	513.6	181.516	231.68	36.34	7.36
221.259	3077.4345	513.6	181.516	231.68	36.34	7.36
221.26247	3129.7749	513.6	181.516	231.68	36.34	7.36
221.26595	3177.8734	513.6	181.516	231.68	36.34	7.36
221.26942	3380.8696	513.6	181.516	231.68	36.34	7.36
221.27289	4001.3547	513.6	181.516	231.68	36.34	7.36
221.27636	4171.4319	513.6	181.516	231.68	36.34	7.36
221.27983	3847.0214	513.6	181.516	231.68	36.34	7.36
221.28331	3156.8835	513.6	181.516	231.68	36.34	7.36
221.28678	2860.0317	513.6	181.516	231.68	36.34	7.36
221.29025	2977.8566	513.6	181.516	231.68	36.34	7.36
221.29372	2929.1434	494.34	175.597	222.992	35.155	7.12
221.29719	3031.9499	494.34	175.597	222.992	35.155	7.12
221.30067	3663.8487	494.34	175.597	222.992	35.155	7.12
221.30414	3872.1598	494.34	175.597	222.992	35.155	7.12
221.30761	3754.2905	494.34	175.597	222.992	35.155	7.12
221.31108	2942.3074	494.34	175.597	222.992	35.155	7.12
221.31456	2307.4033	494.34	175.597	222.992	35.155	7.12
221.31803	2291.5141	494.34	175.597	222.992	35.155	7.12
221.3215	3427.1131	494.34	175.597	222.992	35.155	7.12
221.32497	4063.5544	494.34	175.597	222.992	35.155	7.12
221.32844	3786.2682	494.34	175.597	222.992	35.155	7.12
221.33192	3619.4663	494.34	175.597	222.992	35.155	7.12
221.33539	2777.4752	487.92	171.651	220.096	34.365	6.96
221.33886	2175.9409	487.92	171.651	220.096	34.365	6.96
221.34233	2137.9793	487.92	171.651	220.096	34.365	6.96
221.34581	2155.6382	487.92	171.651	220.096	34.365	6.96
221.34928	3259.5863	487.92	171.651	220.096	34.365	6.96
221.35275	3851	487.92	171.651	220.096	34.365	6.96
221.35622	3719.6342	487.92	171.651	220.096	34.365	6.96
221.35969	3606.7306	487.92	171.651	220.096	34.365	6.96
221.36317	2959.0302	487.92	171.651	220.096	34.365	6.96
221.36664	2547.7446	487.92	171.651	220.096	34.365	6.96
221.37011	2676.7114	487.92	171.651	220.096	34.365	6.96
221.37358	2651.6973	487.92	171.651	220.096	34.365	6.96
221.37706	2596.3493	513.6	179.543	231.68	35.945	7.28
221.38053	2719.1241	513.6	179.543	231.68	35.945	7.28
221.384	3092.6594	513.6	179.543	231.68	35.945	7.28
221.38747	3561.21	513.6	179.543	231.68	35.945	7.28
221.39094	3676.7431	513.6	179.543	231.68	35.945	7.28
221.39442	3531.6353	513.6	179.543	231.68	35.945	7.28
221.39789	3342.7811	513.6	179.543	231.68	35.945	7.28
221.40136	2852.4315	513.6	179.543	231.68	35.945	7.28
